External_ID	Internal_ID
3025668	21544
3025667	21543
2986839	21540
2986838	21539
2986836	21537
2986832	21533
3112958	21808
2986829	21530
2918454	21521
2885633	21520
2871165	21519
2845819	21518
2748319	21516
2746225	21515
2724135	21513
2665645	21512
2654325	21511
2478552	21509
1160795	21505
935222	21504
239	21502
1452725	21501
2715232	21494
1075399	21491
624186	21490
367488	21488
39768	21486
1457031	21485
1229512	21483
59374	21481
59733	21750
3002743	21480
1143323	21478
1229831	21477
1427371	21476
1427370	21475
1427368	21473
1234369	21472
1234368	21471
331635	21469
1453987	21468
406984	21464
182082	21463
138677	21462
115711	21460
227941	21459
1003238	21457
1218357	21453
1218356	21452
1218354	21451
1112267	21449
1112254	21448
1112252	21447
1050221	21445
331636	21443
1447714	21442
1340853	21440
1260223	21439
1260222	21438
1100832	21437
1075087	21436
1075086	21435
1075085	21434
1071783	21433
1071782	21432
1071780	21430
1071779	21429
1071777	21427
1071776	21426
3342096	21838
1071774	21424
1071767	21417
1071758	21408
1071757	21407
1071754	21404
907270	21398
907269	21397
907266	21394
907264	21392
907263	21391
887712	21390
718219	21387
707187	21386
707186	21385
707185	21384
707184	21383
707183	21382
580049	21376
580047	21375
564418	21372
564417	21371
471473	21369
471472	21368
315277	21367
272561	21366
1385722	21363
1385721	21362
983328	21358
292805	21355
1410384	21354
1236909	21353
1236908	21352
293613	21348
1290427	21343
1105098	21341
1105097	21340
1105095	21338
1273266	21359
1105094	21337
449216	21336
3141789	21334
481009	21332
1105109	21328
941638	21327
1105112	21325
416276	21324
1144888	21322
1105114	21319
1105110	21317
1105104	21312
1105103	21311
1105102	21310
2576606	21911
1105101	21309
452659	21307
392021	21306
369822	21305
226665	21303
1004954	21300
703352	21299
546272	21298
520465	21297
520466	21296
520455	21294
520454	21293
520450	21292
262698	21291
1185652	21290
1128334	21289
1128331	21288
1128330	21287
1117943	21286
882101	21285
394	21284
1028800	21282
1041138	21281
1328306	21279
754523	21277
395492	21276
1435057	21274
1300225	21273
1300224	21272
1338034	21271
1338032	21270
1202538	21268
1308548	21266
190486	21263
1365649	21261
1365648	21260
1437881	21258
1365651	21257
1234662	21252
1667327	21251
1463164	21250
2489014	21248
1420013	21246
1392500	21245
1365186	21244
1284804	21241
1250520	21239
941259	21236
72407	21235
574	21233
3077955	21232
2646657	21231
711328	21228
251542	21227
251540	21226
251535	21224
101534	21222
907272	21400
1243616	21221
907268	21396
1243612	21220
1243600	21218
1243591	21217
1243586	21216
1242107	21213
1242106	21212
1242105	21211
1242098	21210
1242096	21209
1242091	21208
1242088	21207
1242090	21205
1208611	21204
1243595	21202
1242094	21199
941188	21198
1242097	21197
866913	21196
1124962	21195
1267753	21193
1410916	21191
1240708	21190
984237	21187
1271863	21186
938141	21185
1412618	21183
1412617	21182
1412615	21180
1412613	21178
1412612	21177
1412611	21176
1412610	21175
1412609	21174
1412608	21173
1412607	21172
1412606	21171
1412605	21170
1412603	21168
1412594	21159
1412592	21157
655815	21690
1412589	21154
1412588	21153
1412585	21150
1412583	21148
1412581	21146
1412580	21145
1412572	21137
1412562	21127
1412559	21124
1412554	21119
1412552	21117
1412548	21113
1412539	21104
1412538	21103
1412537	21102
1412536	21101
1412535	21100
1412534	21099
1412532	21097
1412531	21096
1412530	21095
1412529	21094
1412528	21093
1412527	21092
1412526	21091
1412524	21089
1412523	21088
1412522	21087
1412521	21086
1412520	21085
1412519	21084
1412518	21083
1412516	21081
1538644	21794
1412515	21080
1412513	21078
1412511	21076
1412510	21075
1412509	21074
1412507	21072
1412506	21071
1412502	21067
1412499	21064
1412498	21063
865938	21723
1412497	21062
1412496	21061
1412489	21054
1412488	21053
1412487	21052
1412485	21050
1412484	21049
1412480	21045
1412478	21043
1412477	21042
1412476	21041
1412474	21039
1412473	21038
1412472	21037
1412465	21030
1412464	21029
1412462	21027
1412461	21026
1412460	21025
1328373	21243
1412459	21024
1412458	21023
1412456	21021
1412455	21020
1412454	21019
1412453	21018
1412452	21017
1412451	21016
1244113	21010
1244112	21009
1244111	21008
1243621	21007
1243620	21006
1243619	21005
998822	21004
930771	20999
941190	20998
1194154	20996
938142	20995
1412570	21135
1454613	20992
1412569	21134
1454612	20991
1412568	21133
1454611	20990
1412567	21132
1454610	20989
1412566	21131
1454609	20988
1412564	21129
1454607	20986
1412563	21128
1454606	20985
1412561	21126
1454604	20984
1412560	21125
1454603	20983
1412558	21123
1454601	20982
1412557	21122
1454600	20981
1412556	21121
1454599	20980
1412555	21120
1454598	20979
1412584	21149
1454627	20974
1412582	21147
1454625	20973
1412579	21144
1454622	20972
1412578	21143
1454621	20971
1412577	21142
1454620	20970
1412575	21140
1454618	20968
1412574	21139
1454617	20967
1412573	21138
1454616	20966
1412571	21136
1454614	20965
1299166	20964
997339	20963
984253	20962
938144	20960
930779	20958
877468	20956
858307	20955
858306	20954
796733	20952
796732	20951
796731	20950
423368	20947
867902	21724
909945	20946
687860	20945
439851	20944
1620419	20943
1412604	21169
1454647	20942
1412601	21166
1454644	20940
1412600	21165
1454643	20939
1412599	21164
1454642	20938
1412598	21163
1454641	20937
1412597	21162
1454640	20936
1412596	21161
1454639	20935
1331664	20930
1029978	20929
568709	20925
568708	20924
216597	20923
99287	20922
527001	20920
220341	20919
1124959	20917
1124958	20916
1124956	20915
1412553	21118
1454596	20914
1412551	21116
1454594	20913
1412550	21115
1454593	20912
1412549	21114
1454592	20911
1412547	21112
1454590	20910
1412546	21111
1454589	20909
1412545	21110
1454588	20908
1412544	21109
1454587	20907
1412543	21108
1454586	20906
1412542	21107
1454585	20905
1412541	21106
1454584	20904
1412540	21105
1454583	20903
984211	20901
1320309	20900
1208622	20896
1182193	20893
1182191	20892
1182188	20890
1182181	20888
1182180	20887
1182178	20886
1173459	20880
1173457	20879
1173456	20878
1173427	20877
1406860	20876
1124917	20875
1072590	20874
454166	20873
1173939	20872
476213	20871
1016998	20870
224729	20869
941189	20867
1029983	20864
1124961	20863
1399047	20862
749965	20861
997333	20860
1243579	20859
1271864	20857
1124936	20855
1029997	20854
454169	20853
1029979	20852
1064551	20850
935705	20849
938143	20848
909947	20846
685040	20845
1333851	20843
1333849	20842
996285	20838
644801	20837
379731	20836
698755	20835
629265	20834
223283	20833
1412602	21167
1454645	20941
1664860	20832
322	20827
360920	20826
1674924	20824
1357285	20820
1357284	20819
663959	20815
629264	20814
264449	20813
563797	20808
1038921	20807
1367494	20806
2812896	20801
1115757	20799
1080068	20798
3060204	20797
1260963	20796
462680	20795
411966	20794
59919	20792
2930568	20791
1080230	20790
1080229	20789
1080228	20788
1972598	20786
2760438	20785
376219	20784
2759955	20783
2064643	20780
1454205	20778
2792601	20777
179408	20775
56110	20774
329571	20773
388467	20772
203124	20771
2632878	20770
2579791	20768
374982	20767
1173798	21189
374981	20766
195498	20765
111781	20763
32049	20762
1617448	20761
1615909	20760
113355	20759
2976343	20758
2878255	20757
3133088	20756
3088145	20754
3088144	20753
342023	10272
301450	10269
301449	10268
1159083	10264
1325107	7274
2923088	13634
869311	10262
3235111	13425
697283	10254
488222	10249
488221	10248
342950	6867
227882	11884
189423	10244
708248	12750
1203670	10238
133925	1599
1225197	10229
1155071	10227
1435974	10222
1415776	10217
66831	1097
46541	9300
67294	5246
767463	10213
322159	10212
3372850	11177
1173032	12974
264199	10210
2588535	8091
1005041	10200
216427	5622
29561	1668
388919	10190
347253	10187
2879119	6343
2078691	11967
1458253	10185
1229970	2486
379097	14906
1077464	10184
3066207	19655
1778601	17386
2975350	10171
2954597	10168
1813182	10164
2954744	10170
1963025	10165
365044	16422
691437	10162
2171500	15347
33938	10158
2005473	9125
2171497	15344
2840371	10153
370764	4486
340145	10147
41170	10142
2773237	10140
2665646	10137
2606450	10136
136843	5834
323620	2135
3366810	10134
3113369	12575
1500254	10130
2954682	10125
3141459	14100
1412619	21184
319501	10119
1564681	10512
3373096	10110
94122	14809
3243766	10106
29323	3696
3080014	15389
3122489	10102
3049075	10099
3032287	10093
2349	17504
2913022	9086
2979727	10089
655391	13998
2875962	17403
2976834	10088
465721	7215
2954741	10079
2954663	10068
1460447	3908
2954661	10067
2767884	1077
3058426	11560
111500	17305
2954653	10065
2767876	1070
2954535	10062
2954506	10056
2975259	9112
256616	2170
2954505	10055
2921709	10049
2921697	10047
2921695	10046
265311	12850
1071764	21414
272947	21335
2921656	10038
2921444	10019
2921443	10018
1385715	20475
2921427	10013
659350	7604
2921360	9998
1336804	21576
285729	9223
140458	1122
1879049	15152
2871175	9993
3004499	17284
2823905	9989
770	7518
1682490	8100
2777984	9987
2777983	9986
2762320	9985
2748863	9983
2741301	9982
1890428	1737
2282849	9978
19	8896
1452729	17761
2023772	9973
1920423	9969
1740264	9965
1053	6437
1306526	9954
2613965	7647
1223514	4721
1116391	9948
224012	12881
1477	9943
1413214	9941
1052684	9940
35787	3495
1114943	11893
349520	9937
702455	9930
2065118	9923
3040509	4978
1758466	4732
1457187	9919
1334073	18067
1334565	9917
649716	18991
2921702	10048
1288295	9915
1030009	9913
2731755	7099
879089	9902
1522432	8219
28216	91
3390202	6513
2663847	4431
879088	9901
1522431	2677
2663846	4430
637381	9898
552536	9896
2420306	14171
393132	9894
2904245	20513
206349	795
40325	15019
202752	9886
57481	10532
2921431	9884
2921416	9883
2921704	9882
78543	13029
2921401	9881
57487	9296
2939494	9880
2954511	9879
2954681	9869
941640	12747
2083055	13156
